timestamp,method_name,method,angle,surface,peak_variables,variable,n,mean,std,median,q1,q3,min,max,iqr
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,peak_signal,10,51.45,5.526165035537756,49.099999999999994,47.725,54.95,46.0,61.8,7.225000000000001
2026-03-07 20:53:26,yaw_0_Plexi,yaw,0,Plexi,torque_z,peak_signal,10,0.8820118343195267,0.0507078151582092,0.793491124260355,0.7355029585798816,0.8162721893491122,0.7029585798816568,0.8686390532544379,0.0807692307692306
2026-03-07 20:56:11,roll_pitch_0_Plexi,roll_pitch,0,Plexi,torque_x|torque_y,peak_signal,10,20.95277777777778,2.9589656195574334,5.625,5.041666666666668,6.38888888888889,4.25,7.99074074074074,4.347222222222221
2026-03-07 21:20:10,xy_0_Plexi,xy,0,Plexi,force_x|force_y,peak_signal,10,10.510996674605199,1.2474380475672207,9.964586218313492,9.647302904564315,10.469768820391227,9.54356846473029,12.278008298755186,0.8224659158269123
2026-03-08 13:27:47,z_0_Wood,z,0,Wood,force_z,peak_signal,5,45.22,2.0232646885664765,45.7,43.8,46.9,42.1,47.6,3.1000000000000014
2026-03-08 13:28:37,yaw_0_Wood,yaw,0,Wood,torque_z,peak_signal,5,1.0665088757396448,0.020407253770224763,0.6662721893491125,0.6437869822485206,0.6875739644970415,0.6437869822485206,0.6911242603550295,0.043786982248520845
2026-03-08 13:30:55,xy_0_Wood,xy,0,Wood,force_x|force_y,peak_signal,5,9.682438696096336,1.936765731107764,8.593091828138164,8.480763830384724,9.435551811288963,8.417308832246592,12.485477178423237,0.9547879809042392
2026-03-08 13:32:43,roll_pitch_0_Wood,roll_pitch,0,Wood,torque_x|torque_y,peak_signal,5,13.514814814814816,2.615104642420515,8.564814814814815,8.296296296296296,10.01851851851852,7.777777777777779,11.916666666666668,3.722222222222223
2026-03-08 14:48:24,z_0_Metal,z,0,Metal,force_z|force_total,peak_signal,5,46.256410412821495,4.119089318637918,47.743631436965565,47.47936013002952,48.61407900740329,38.12218036417863,49.32280112553047,1.1347188773737713
2026-03-08 15:20:59,yaw_0_Metal,yaw,0,Metal,torque_z,peak_signal,5,0.9292307692307693,0.01936493933167598,0.7313609467455621,0.7076923076923077,0.7491124260355029,0.706508875739645,0.7514792899408284,0.041420118343195256
2026-03-08 15:23:16,roll_pitch_0_Metal,roll_pitch,0,Metal,torque_x|torque_y,peak_signal,5,7.587037037037037,0.27062392980935657,7.444444444444445,7.388888888888889,7.685185185185185,7.342592592592593,8.074074074074074,0.29629629629629584
2026-03-08 00:54:10,xy_0_Metal,xy,0,Metal,force_x|force_y,peak_signal,5,9.19976289270895,0.11646047838997291,9.24718435091879,9.18790752815649,9.87682276229994,8.980438648488441,10.30646117368109,0.0889152341434496
2026-03-08 21:18:21,z,roll_pitch,30,Plexi,torque_x|torque_y,peak_signal,10,4.787539682539682,0.6206753850190042,4.569444444444445,4.439814814814815,4.775595238095238,4.078571428571428,5.972222222222222,0.3357804232804229
2026-03-08 21:19:40,test,xy,30,Plexi,force_x|force_y,peak_signal,10,6.197697276046055,0.7444696414529193,7.0937938781241225,6.770850884582982,7.430777871384443,6.167087896658242,9.087615838247684,0.6599269868014606
2026-03-08 21:20:36,test,yaw,30,Plexi,torque_z,peak_signal,10,0.6982248520710059,0.03844241673051381,0.6863905325443787,0.676923076923077,0.7189349112426036,0.6532544378698225,0.7893491124260354,0.0420118343195266
2026-03-08 21:27:24,test,yaw,30,Wood,torque_z,peak_signal,10,0.5588165680473374,0.06520656364215827,0.5301775147928994,0.5269230769230769,0.5387573964497041,0.5112426035502958,0.7017751479289941,0.011834319526627168
